vardas		pavarde		nd1	nd2	nd3	nd4	nd5	egz
vardas606		pavarde606		9	3	3	7	2	5
vardas607		pavarde607		0	10	0	8	0	9
vardas608		pavarde608		5	4	6	6	5	0
vardas609		pavarde609		10	4	4	5	5	4
vardas610		pavarde610		9	2	7	4	2	2
vardas611		pavarde611		9	0	5	10	6	8
vardas612		pavarde612		4	6	5	4	3	5
vardas613		pavarde613		0	6	9	6	1	4
vardas614		pavarde614		7	1	6	0	6	0
vardas615		pavarde615		2	3	3	8	7	5
vardas616		pavarde616		10	3	4	4	2	8
vardas617		pavarde617		10	6	3	4	8	4
vardas618		pavarde618		7	8	8	4	1	10
vardas619		pavarde619		6	8	9	1	6	2
vardas620		pavarde620		1	7	5	2	4	10
vardas621		pavarde621		6	1	2	8	5	4
vardas622		pavarde622		5	3	8	6	7	5
vardas623		pavarde623		8	2	0	5	6	2
vardas624		pavarde624		2	1	8	0	2	4
vardas625		pavarde625		1	1	9	6	4	2
vardas626		pavarde626		6	8	1	6	5	6
vardas627		pavarde627		9	8	7	6	3	2
vardas628		pavarde628		10	0	4	10	3	10
vardas629		pavarde629		1	6	9	10	4	0
vardas630		pavarde630		1	5	10	10	1	1
vardas631		pavarde631		10	5	9	0	9	1
vardas632		pavarde632		4	7	9	1	1	10
vardas633		pavarde633		3	0	8	5	10	1
vardas634		pavarde634		4	10	5	2	7	9
vardas635		pavarde635		0	8	4	8	5	3
vardas636		pavarde636		10	2	6	6	0	2
vardas637		pavarde637		8	4	10	4	3	9
vardas638		pavarde638		4	4	9	10	7	6
vardas639		pavarde639		0	0	3	3	0	10
vardas640		pavarde640		2	9	5	4	7	10
vardas641		pavarde641		5	4	10	9	10	10
vardas642		pavarde642		0	5	2	8	10	3
vardas643		pavarde643		4	1	8	2	0	2
vardas644		pavarde644		7	10	3	8	2	1
vardas645		pavarde645		8	2	9	0	4	3
vardas646		pavarde646		9	9	7	8	5	4
vardas647		pavarde647		8	4	10	8	1	9
vardas648		pavarde648		0	6	8	6	6	8
vardas649		pavarde649		9	0	7	10	9	8
vardas650		pavarde650		0	4	10	7	4	2
vardas651		pavarde651		10	0	0	4	9	4
vardas652		pavarde652		9	4	8	8	1	7
vardas653		pavarde653		4	1	0	10	6	7
vardas654		pavarde654		7	4	5	2	3	1
vardas655		pavarde655		10	1	5	7	9	8
vardas656		pavarde656		9	6	8	8	0	4
vardas657		pavarde657		1	7	8	7	2	7
vardas658		pavarde658		3	4	7	4	3	2
vardas659		pavarde659		9	10	6	1	10	9
vardas660		pavarde660		3	7	8	6	2	6
vardas661		pavarde661		1	9	0	8	6	0
vardas662		pavarde662		1	5	7	8	10	7
vardas663		pavarde663		2	3	0	9	5	3
vardas664		pavarde664		0	3	0	4	4	0
vardas665		pavarde665		0	7	5	9	1	7
vardas666		pavarde666		4	2	6	4	10	10
vardas667		pavarde667		2	10	3	7	5	2
vardas668		pavarde668		3	7	5	3	6	10
vardas669		pavarde669		4	4	0	5	9	5
vardas670		pavarde670		3	9	10	8	7	9
vardas671		pavarde671		3	10	1	7	1	9
vardas672		pavarde672		6	2	8	7	9	2
vardas673		pavarde673		10	0	10	2	1	3
vardas674		pavarde674		0	6	7	0	0	3
vardas675		pavarde675		3	1	2	1	9	7
vardas676		pavarde676		10	10	4	9	6	6
vardas677		pavarde677		6	2	8	3	7	4
vardas678		pavarde678		4	6	4	1	7	6
vardas679		pavarde679		2	7	1	9	5	10
vardas680		pavarde680		0	7	0	0	8	7
vardas681		pavarde681		7	5	7	10	2	2
vardas682		pavarde682		5	8	2	0	9	10
vardas683		pavarde683		4	0	5	7	1	1
vardas684		pavarde684		2	3	6	1	0	1
vardas685		pavarde685		9	0	8	9	0	3
vardas686		pavarde686		3	5	6	10	4	6
vardas687		pavarde687		2	7	3	4	5	0
vardas688		pavarde688		1	10	0	5	6	2
vardas689		pavarde689		6	6	3	0	5	3
vardas690		pavarde690		1	3	1	7	10	10
vardas691		pavarde691		8	2	3	3	2	7
vardas692		pavarde692		8	2	2	9	4	7
vardas693		pavarde693		9	6	4	10	0	8
vardas694		pavarde694		10	4	1	0	4	6
vardas695		pavarde695		2	3	7	3	10	6
vardas696		pavarde696		1	7	7	4	9	7
vardas697		pavarde697		0	6	9	0	4	0
vardas698		pavarde698		8	1	4	10	9	2
vardas699		pavarde699		8	6	7	9	6	9
vardas700		pavarde700		3	8	0	10	10	10
vardas701		pavarde701		4	0	5	0	4	1
vardas702		pavarde702		7	2	5	3	1	7
vardas703		pavarde703		1	9	8	6	6	4
vardas704		pavarde704		8	3	10	2	0	4
vardas705		pavarde705		10	3	1	10	2	9
vardas706		pavarde706		7	6	7	10	4	0
vardas707		pavarde707		9	9	1	3	10	2
vardas708		pavarde708		0	1	9	6	5	4
vardas709		pavarde709		0	0	8	8	3	8
vardas710		pavarde710		1	2	0	1	10	0
vardas711		pavarde711		10	6	5	7	6	9
vardas712		pavarde712		5	4	8	4	6	7
vardas713		pavarde713		6	4	6	4	8	0
vardas714		pavarde714		7	6	1	2	4	2
vardas715		pavarde715		8	5	2	6	4	1
vardas716		pavarde716		6	4	5	0	9	0
vardas717		pavarde717		10	1	3	5	6	7
vardas718		pavarde718		1	1	0	8	4	6
vardas719		pavarde719		8	9	2	7	0	6
vardas720		pavarde720		9	8	9	0	3	3
vardas721		pavarde721		1	7	5	7	8	3
vardas722		pavarde722		5	5	4	6	10	10
vardas723		pavarde723		0	9	10	0	4	1
vardas724		pavarde724		7	0	10	7	7	10
vardas725		pavarde725		2	6	5	9	4	8
vardas726		pavarde726		1	4	4	4	9	10
vardas727		pavarde727		7	3	2	10	8	10
vardas728		pavarde728		7	8	9	4	7	0
vardas729		pavarde729		5	1	0	4	8	8
vardas730		pavarde730		1	8	1	6	6	5
vardas731		pavarde731		1	6	7	4	10	5
vardas732		pavarde732		1	5	9	4	2	4
vardas733		pavarde733		3	7	1	10	1	6
vardas734		pavarde734		0	6	7	9	9	4
vardas735		pavarde735		6	8	1	5	4	6
vardas736		pavarde736		9	5	10	5	7	9
vardas737		pavarde737		0	9	1	7	2	1
vardas738		pavarde738		0	3	9	10	1	10
vardas739		pavarde739		6	10	3	0	8	10
vardas740		pavarde740		5	2	8	4	7	10
vardas741		pavarde741		8	3	2	7	9	10
vardas742		pavarde742		4	9	8	5	3	8
vardas743		pavarde743		7	3	9	5	0	8
vardas744		pavarde744		2	6	7	5	7	3
vardas745		pavarde745		3	10	5	0	1	10
vardas746		pavarde746		8	10	3	10	6	10
vardas747		pavarde747		7	10	8	2	3	0
vardas748		pavarde748		10	8	1	7	0	1
vardas749		pavarde749		4	2	6	10	5	0
vardas750		pavarde750		2	8	10	5	6	0
vardas751		pavarde751		4	1	8	5	1	2
vardas752		pavarde752		4	6	10	10	9	2
vardas753		pavarde753		8	6	8	9	2	8
vardas754		pavarde754		9	7	8	4	4	3
vardas755		pavarde755		4	6	9	1	0	3
vardas756		pavarde756		10	2	2	8	6	3
vardas757		pavarde757		10	8	8	9	8	6
vardas758		pavarde758		10	3	1	7	0	4
vardas759		pavarde759		3	9	9	0	0	0
vardas760		pavarde760		1	2	6	9	3	4
vardas761		pavarde761		10	0	4	1	8	10
vardas762		pavarde762		3	5	8	0	2	3
vardas763		pavarde763		6	10	6	5	4	6
vardas764		pavarde764		7	7	2	3	6	0
vardas765		pavarde765		3	5	2	7	3	3
vardas766		pavarde766		0	0	4	3	2	10
vardas767		pavarde767		0	3	5	6	3	7
vardas768		pavarde768		9	7	6	3	1	10
vardas769		pavarde769		7	7	5	10	10	0
vardas770		pavarde770		10	1	5	0	8	7
vardas771		pavarde771		3	9	7	7	10	7
vardas772		pavarde772		7	10	10	10	6	2
vardas773		pavarde773		4	2	7	10	5	7
vardas774		pavarde774		7	2	3	10	10	2
vardas775		pavarde775		10	7	3	3	7	10
vardas776		pavarde776		10	0	8	4	5	5
vardas777		pavarde777		1	10	4	9	9	10
vardas778		pavarde778		10	2	2	6	10	5
vardas779		pavarde779		2	5	7	5	4	4
vardas780		pavarde780		6	4	1	7	5	8
vardas781		pavarde781		6	2	6	1	4	1
vardas782		pavarde782		6	5	9	9	2	8
vardas783		pavarde783		8	1	8	8	7	8
vardas784		pavarde784		3	8	2	8	2	4
vardas785		pavarde785		2	6	6	3	1	0
vardas786		pavarde786		9	7	2	5	7	5
vardas787		pavarde787		6	0	10	4	9	10
vardas788		pavarde788		10	7	0	8	2	8
vardas789		pavarde789		3	5	3	3	3	5
vardas790		pavarde790		7	3	10	3	6	0
vardas791		pavarde791		1	4	5	2	7	1
vardas792		pavarde792		7	0	2	4	5	0
vardas793		pavarde793		4	2	5	4	8	6
vardas794		pavarde794		10	0	0	2	1	1
vardas795		pavarde795		6	7	4	3	8	8
vardas796		pavarde796		3	9	0	8	0	7
vardas797		pavarde797		8	5	8	8	10	0
vardas798		pavarde798		6	3	2	10	5	9
vardas799		pavarde799		5	3	7	3	3	9
vardas800		pavarde800		5	7	5	7	10	2
vardas801		pavarde801		3	0	9	3	7	8
vardas802		pavarde802		8	4	2	5	10	1
vardas803		pavarde803		3	5	2	6	4	6
vardas804		pavarde804		2	9	9	9	2	10
vardas805		pavarde805		5	5	7	8	10	4
vardas806		pavarde806		8	2	5	7	5	1
vardas807		pavarde807		4	3	3	6	6	2
vardas808		pavarde808		6	10	7	8	3	1
vardas809		pavarde809		3	5	8	10	1	8
vardas810		pavarde810		10	7	2	4	4	2
vardas811		pavarde811		8	0	4	2	7	8
vardas812		pavarde812		1	9	9	4	2	2
vardas813		pavarde813		6	8	1	3	4	4
vardas814		pavarde814		2	7	7	8	5	9
vardas815		pavarde815		6	2	3	6	6	5
vardas816		pavarde816		8	1	5	0	2	10
vardas817		pavarde817		6	3	8	2	6	0
vardas818		pavarde818		4	1	6	6	2	10
vardas819		pavarde819		8	2	5	3	0	10
vardas820		pavarde820		10	6	10	2	1	3
vardas821		pavarde821		5	8	4	0	6	4
vardas822		pavarde822		10	10	6	6	1	1
vardas823		pavarde823		6	5	0	10	9	3
vardas824		pavarde824		10	5	5	4	6	5
vardas825		pavarde825		1	5	9	0	5	9
vardas826		pavarde826		3	10	6	5	10	10
vardas827		pavarde827		8	8	9	3	3	10
vardas828		pavarde828		4	7	2	4	6	10
vardas829		pavarde829		5	3	4	0	7	8
vardas830		pavarde830		3	6	2	0	4	7
vardas831		pavarde831		9	5	6	2	0	4
vardas832		pavarde832		1	8	1	10	0	2
vardas833		pavarde833		7	2	9	9	6	2
vardas834		pavarde834		6	1	6	8	10	0
vardas835		pavarde835		5	0	7	7	0	9
vardas836		pavarde836		1	9	4	8	0	4
vardas837		pavarde837		10	1	10	9	9	8
vardas838		pavarde838		0	5	8	7	2	3
vardas839		pavarde839		9	8	2	2	4	10
vardas840		pavarde840		1	9	0	6	6	9
vardas841		pavarde841		4	7	8	8	2	6
vardas842		pavarde842		10	10	6	9	8	4
vardas843		pavarde843		4	8	8	1	2	10
vardas844		pavarde844		3	10	5	3	1	9
vardas845		pavarde845		1	2	8	1	6	1
vardas846		pavarde846		8	0	6	5	8	7
vardas847		pavarde847		10	8	6	5	4	4
vardas848		pavarde848		9	9	10	6	8	2
vardas849		pavarde849		3	0	1	7	2	2
vardas850		pavarde850		5	3	3	0	2	9
vardas851		pavarde851		10	10	7	6	5	5
vardas852		pavarde852		2	2	0	6	7	4
vardas853		pavarde853		10	5	0	10	10	9
vardas854		pavarde854		1	0	7	2	7	9
vardas855		pavarde855		2	0	1	3	9	3
vardas856		pavarde856		0	9	3	7	2	6
vardas857		pavarde857		10	2	8	10	8	2
vardas858		pavarde858		4	8	7	2	5	4
vardas859		pavarde859		0	4	5	6	4	10
vardas860		pavarde860		4	6	10	4	8	9
vardas861		pavarde861		7	8	7	8	2	7
vardas862		pavarde862		1	2	9	7	1	6
vardas863		pavarde863		9	3	1	4	6	4
vardas864		pavarde864		6	4	8	0	8	1
vardas865		pavarde865		0	2	6	10	4	3
vardas866		pavarde866		6	9	9	0	7	0
vardas867		pavarde867		7	6	0	5	1	2
vardas868		pavarde868		10	8	3	9	1	7
vardas869		pavarde869		3	8	10	0	6	7
vardas870		pavarde870		0	4	7	6	2	0
vardas871		pavarde871		7	8	10	3	9	4
vardas872		pavarde872		3	3	8	2	7	9
vardas873		pavarde873		2	6	5	5	4	4
vardas874		pavarde874		0	7	1	10	6	6
vardas875		pavarde875		4	6	10	10	10	1
vardas876		pavarde876		10	4	8	7	7	4
vardas877		pavarde877		9	8	7	7	10	3
vardas878		pavarde878		3	1	7	8	5	1
vardas879		pavarde879		2	5	6	1	2	1
vardas880		pavarde880		5	4	5	5	3	2
vardas881		pavarde881		4	1	6	1	8	2
vardas882		pavarde882		3	7	0	0	1	8
vardas883		pavarde883		1	4	10	9	0	4
vardas884		pavarde884		10	0	7	3	1	9
vardas885		pavarde885		5	7	2	8	10	4
vardas886		pavarde886		0	1	5	4	1	2
vardas887		pavarde887		5	4	7	3	4	8
vardas888		pavarde888		0	4	0	8	2	9
vardas889		pavarde889		10	10	9	6	2	8
vardas890		pavarde890		2	5	2	3	1	10
vardas891		pavarde891		7	10	1	1	3	2
vardas892		pavarde892		1	8	6	7	9	9
vardas893		pavarde893		2	10	0	0	7	2
vardas894		pavarde894		9	7	10	7	0	10
vardas895		pavarde895		3	3	5	5	4	4
vardas896		pavarde896		5	0	3	4	10	4
vardas897		pavarde897		6	9	2	10	5	0
vardas898		pavarde898		6	8	8	6	6	3
vardas899		pavarde899		8	5	10	5	10	8
vardas900		pavarde900		5	2	9	8	6	2
vardas901		pavarde901		1	9	0	2	2	8
vardas902		pavarde902		6	6	7	8	5	10
vardas903		pavarde903		7	1	5	2	7	1
vardas904		pavarde904		5	3	4	2	8	3
vardas905		pavarde905		0	0	4	9	8	10
vardas906		pavarde906		10	7	8	10	9	10
vardas907		pavarde907		6	5	3	0	2	8
vardas908		pavarde908		10	7	9	3	10	4
vardas909		pavarde909		2	2	7	6	5	2
vardas910		pavarde910		9	3	3	2	1	0
vardas911		pavarde911		10	9	8	7	9	4
vardas912		pavarde912		4	2	9	7	2	1
vardas913		pavarde913		3	1	6	1	2	3
vardas914		pavarde914		3	4	6	8	10	9
vardas915		pavarde915		0	7	1	1	9	0
vardas916		pavarde916		10	9	10	5	3	6
vardas917		pavarde917		10	8	8	8	2	10
vardas918		pavarde918		7	5	9	3	5	1
vardas919		pavarde919		4	8	3	8	4	3
vardas920		pavarde920		6	4	10	7	3	6
vardas921		pavarde921		6	2	2	5	8	6
vardas922		pavarde922		9	5	1	6	2	1
vardas923		pavarde923		3	10	7	1	0	1
vardas924		pavarde924		0	2	7	4	0	0
vardas925		pavarde925		5	4	2	2	10	3
vardas926		pavarde926		8	5	6	9	10	1
vardas927		pavarde927		4	6	6	3	10	8
vardas928		pavarde928		4	2	5	0	1	3
vardas929		pavarde929		10	0	6	5	2	6
vardas930		pavarde930		3	7	10	4	9	7
vardas931		pavarde931		7	4	1	0	2	9
vardas932		pavarde932		1	4	4	7	7	3
vardas933		pavarde933		3	10	3	8	8	5
vardas934		pavarde934		1	6	5	5	9	7
vardas935		pavarde935		9	1	1	6	3	8
vardas936		pavarde936		3	0	1	4	0	2
vardas937		pavarde937		3	0	4	5	7	10
vardas938		pavarde938		9	10	9	1	6	6
vardas939		pavarde939		4	5	10	7	10	8
vardas940		pavarde940		1	6	10	2	1	0
vardas941		pavarde941		10	4	0	10	9	10
vardas942		pavarde942		10	10	10	3	4	4
vardas943		pavarde943		2	0	2	0	0	8
vardas944		pavarde944		5	4	0	4	1	8
vardas945		pavarde945		2	0	3	10	3	4
vardas946		pavarde946		8	0	9	9	8	5
vardas947		pavarde947		6	7	2	5	0	6
vardas948		pavarde948		7	2	5	9	1	5
vardas949		pavarde949		4	4	9	4	8	8
vardas950		pavarde950		1	8	9	2	5	10
vardas951		pavarde951		7	3	8	3	10	6
vardas952		pavarde952		6	5	0	8	8	0
vardas953		pavarde953		1	4	1	6	1	0
vardas954		pavarde954		9	5	4	8	10	10
vardas955		pavarde955		3	9	6	10	1	0
vardas956		pavarde956		9	6	1	5	7	9
vardas957		pavarde957		9	0	3	9	6	9
vardas958		pavarde958		8	5	1	7	1	2
vardas959		pavarde959		7	8	7	9	5	4
vardas960		pavarde960		6	7	3	1	6	2
vardas961		pavarde961		0	3	6	1	6	0
vardas962		pavarde962		0	4	0	1	2	6
vardas963		pavarde963		9	8	0	10	4	10
vardas964		pavarde964		10	9	8	6	5	0
vardas965		pavarde965		9	1	7	10	2	1
vardas966		pavarde966		1	2	4	5	2	10
vardas967		pavarde967		5	0	1	5	10	3
vardas968		pavarde968		9	8	10	9	5	3
vardas969		pavarde969		7	4	0	4	9	5
vardas970		pavarde970		2	5	6	8	4	9
vardas971		pavarde971		9	5	9	0	10	9
vardas972		pavarde972		8	2	9	9	7	7
vardas973		pavarde973		10	5	4	9	1	8
vardas974		pavarde974		0	8	10	0	10	8
vardas975		pavarde975		5	0	0	10	8	4
vardas976		pavarde976		6	6	9	4	4	6
vardas977		pavarde977		1	1	6	8	10	2
vardas978		pavarde978		4	7	5	7	6	5
vardas979		pavarde979		4	6	2	3	4	0
vardas980		pavarde980		10	7	9	10	6	6
vardas981		pavarde981		2	1	10	9	4	3
vardas982		pavarde982		3	5	4	9	2	1
vardas983		pavarde983		1	5	8	4	1	3
vardas984		pavarde984		9	3	7	10	4	0
vardas985		pavarde985		8	1	8	6	10	1
vardas986		pavarde986		1	1	3	0	10	7
vardas987		pavarde987		3	2	1	5	1	1
vardas988		pavarde988		6	0	6	3	4	5
vardas989		pavarde989		5	1	8	10	0	2
vardas990		pavarde990		9	8	3	4	3	2
vardas991		pavarde991		5	2	3	8	2	1
vardas992		pavarde992		4	3	3	3	8	4
vardas993		pavarde993		3	1	2	9	4	5
vardas994		pavarde994		4	7	6	10	7	6
vardas995		pavarde995		1	5	1	3	9	4
vardas996		pavarde996		3	3	6	7	10	6
vardas997		pavarde997		6	1	7	9	5	2
vardas998		pavarde998		1	6	3	3	4	5
vardas999		pavarde999		8	6	2	1	6	9
vardas1000		pavarde1000		7	5	1	8	8	10
